----------------------------------------------
Running adaptive_learning_rate learning with:
	 learning_rate's increase_rate: 1.05
	 learning_rate's decrease_rate: 0.8
	 Left out approach: True
	 max_epoch: 80
	 learning_rate: 0.2
	 batch_size: None
----------------------------------------------
Preparation took 0.06792593002319336 seconds
Using 0.3333 of the data to validate.
Weight errors after epoch 114 is 0.2391304347826087
Weight errors after epoch 115 is 0.23737768466188808
Weight errors after epoch 116 is 1.1521739130434783
Weight errors after epoch 117 is 1.14632880332059
Weight errors after epoch 118 is 2.0869565217391304
Weight errors after epoch 119 is 2.07692161528069
Weight errors after epoch 120 is 0.45652173913043476
Weight errors after epoch 121 is 0.4537946176758647
Weight errors after epoch 122 is 0.2608695652173913
Weight errors after epoch 123 is 0.25901937796328567
Weight errors after epoch 124 is 1.565217391304348
Weight errors after epoch 125 is 1.557520976047146
Weight errors after epoch 126 is 0.2826086956521739
Weight errors after epoch 127 is 0.28066107126468337
Weight errors after epoch 128 is 0.32608695652173914
Weight errors after epoch 129 is 0.3239444578674787
Weight errors after epoch 130 is 2.0
Weight errors after epoch 131 is 1.9903548420750992
Weight errors after epoch 132 is 0.717391304347826
Weight errors after epoch 133 is 0.7134949372926368
Weight errors after epoch 134 is 1.0869565217391304
Weight errors after epoch 135 is 1.0814037234163971
Weight errors after epoch 136 is 0.9565217391304348
Weight errors after epoch 137 is 0.9515535636080111
Weight errors after epoch 138 is 0.043478260869565216
Weight errors after epoch 139 is 0.04396432825628168
Weight errors after epoch 140 is 0.06521739130434782
Weight errors after epoch 141 is 0.06560602155767942
Weight errors after epoch 142 is 1.2173913043478262
Weight errors after epoch 143 is 1.2112538832247832
Weight errors after epoch 144 is 0.21739130434782608
Weight errors after epoch 145 is 0.21573599136049035
Weight errors after epoch 146 is 2.0
Weight errors after epoch 147 is 1.9903548420750992
Weight errors after epoch 148 is 2.0217391304347827
Weight errors after epoch 149 is 2.011996535376497
Weight errors after epoch 150 is 1.3478260869565217
Weight errors after epoch 151 is 1.3411040430331693
Weight errors after epoch 152 is 1.9782608695652173
Weight errors after epoch 153 is 1.9687131487737017
Weight errors after epoch 154 is 0.5869565217391305
Weight errors after epoch 155 is 0.5836447774842507
Weight errors after epoch 156 is 1.0217391304347827
Weight errors after epoch 157 is 1.0164786435122042
Weight errors after epoch 158 is 0.021739130434782608
Weight errors after epoch 159 is 0.022322634954883947
----------------------
RESULTS
Expected: -46; 	 Found: 49.53839430291174; 	 Error: 95.53839430291174; 	 Relative error: 2.07692161528069; 	 For term: burglary;
Mean relative error: 2.07692161528069
Median of relative error: 2.07692161528069
Variance of relative error: 0.0
Minimum relative error: 2.07692161528069
Maximum relative error: 2.07692161528069
----------------------------------------------
MSE of actual solution: 2.1229827097230274
Expected weights: {maryCalls: 0, \+maryCalls: 49, earthquake: -37, burglary: -46}
Found weights: {burglary: 49.53839430291174}
