----------------------------------------------
Running adaptive_learning_rate learning with:
	 learning_rate's increase_rate: 1.05
	 learning_rate's decrease_rate: 0.8
	 Left out approach: True
	 max_epoch: 80
	 learning_rate: 0.2
	 batch_size: None
----------------------------------------------
Preparation took 0.07997679710388184 seconds
Using 0.3333 of the data to validate.
Weight errors after epoch 121 is 0.45407544882984296
Weight errors after epoch 122 is 0.2608695652173913
Weight errors after epoch 123 is 0.25923399588611273
Weight errors after epoch 124 is 1.565217391304348
Weight errors after epoch 125 is 1.5581770155109809
Weight errors after epoch 126 is 0.2826086956521739
Weight errors after epoch 127 is 0.28088304621319393
Weight errors after epoch 128 is 0.32608695652173914
Weight errors after epoch 129 is 0.32418114686735616
Weight errors after epoch 130 is 2.0
Weight errors after epoch 131 is 1.9911580220526035
Weight errors after epoch 132 is 0.717391304347826
Weight errors after epoch 133 is 0.7138640527548167
Weight errors after epoch 134 is 1.0869565217391304
Weight errors after epoch 135 is 1.0818979083151958
Weight errors after epoch 136 is 0.9565217391304348
Weight errors after epoch 137 is 0.9520036063527091
Weight errors after epoch 138 is 0.043478260869565216
Weight errors after epoch 139 is 0.043852708693023136
Weight errors after epoch 140 is 0.06521739130434782
Weight errors after epoch 141 is 0.06550175902010417
Weight errors after epoch 142 is 1.2173913043478262
Weight errors after epoch 143 is 1.2117922102776826
Weight errors after epoch 144 is 0.21739130434782608
Weight errors after epoch 145 is 0.21593589523195048
Weight errors after epoch 146 is 2.0
Weight errors after epoch 147 is 1.9911580220526035
Weight errors after epoch 148 is 2.0217391304347827
Weight errors after epoch 149 is 2.0128070723796845
Weight errors after epoch 150 is 1.3478260869565217
Weight errors after epoch 151 is 1.3416865122401693
Weight errors after epoch 152 is 1.9782608695652173
Weight errors after epoch 153 is 1.969508971725522
Weight errors after epoch 154 is 0.5869565217391305
Weight errors after epoch 155 is 0.5839697507923297
Weight errors after epoch 156 is 1.0217391304347827
Weight errors after epoch 157 is 1.0169507573339525
Weight errors after epoch 158 is 0.021739130434782608
Weight errors after epoch 159 is 0.022203658365941938
----------------------
RESULTS
Expected: -46; 	 Found: 49.57669427460269; 	 Error: 95.57669427460269; 	 Relative error: 2.077754223360928; 	 For term: burglary;
Mean relative error: 2.077754223360928
Median of relative error: 2.077754223360928
Variance of relative error: 0.0
Minimum relative error: 2.077754223360928
Maximum relative error: 2.077754223360928
----------------------------------------------
MSE of actual solution: 39.00505586437138
Expected weights: {alarm: 0, \+alarm: 49, johnCalls: -37, burglary: -46}
Found weights: {burglary: 49.57669427460269}
